Site.22,TagNum,N_flowers.22,N_Wstem.22,N_Gstem.22,Sum_stems.22,Len_LS_cm.22,Height_cm.22,Width_cm.22,VOLUME.22,NOTES.22,Site.23,N_flowers.23,N_Wstem.23,N_Gstem.23,Sum_stems.23,Len_LS_cm.23,Height_cm.23,Width_cm.23,VOLUME.23,NOTES.23,Population,Treatment,Plot
hp1,301,0,4,0,4,14,15,16,3015.928947446201,NA,hp1,0,1,0,1,19,19,10,1492.2565104551518,NA,sc,fenced,hp1a
hp1,302,0,1,0,1,15,14,9,890.6415172927063,NA,hp1,0,0,0,0,0,0,0,0,NA,sc,fenced,hp1a
hp1,303,5,7,0,7,65,52,75,229728.96279375363,NA,hp1,0,2,0,2,58,42,46,69799.90557745802,NA,sc,fenced,hp1a
hp1,304,0,4,0,4,46,38,44,57780.172084823476,NA,hp1,0,2,0,2,68,45,58,118893.57397510573,NA,sc,fenced,hp1a
hp1,305,0,2,0,2,25,24,16,4825.486315913922,NA,hp1,0,1,0,1,41,38,26,20175.308021353652,NA,sc,fenced,hp1a
hp1,306,0,4,0,4,41,41,33,35067.24259753267,NA,hp1,0,4,0,4,57,57,23,23682.110820923255,NA,sc,fenced,hp1a
hp1,307,0,2,0,2,21,21,15,3711.0063220529432,NA,hp1,0,2,0,2,33,33,26,17520.662229070276,NA,sc,fenced,hp1a
hp1,308,6,3,0,3,53,52,33,44475.5271968707,NA,hp1,0,2,0,2,96,96,39,114680.6982266418,NA,sc,fenced,hp1a
hp1,309,3,3,0,3,86,84,65,278737.80818975443,NA,hp1,0,2,0,2,123,109,77,507572.2024753983,NA,sc,fenced,hp1a
hp1,310,0,6,0,6,48,43,43,62444.65177724092,NA,hp1,0,3,0,3,79,54,74,232245.37850927905,NA,sc,fenced,hp1a
hp1,311,18,4,0,4,91,71,101,568841.1132020332,NA,hp1,0,1,1,2,8,5,6,141.3716694115407,NA,sc,fenced,hp1a
hp1,312,0,4,3,7,28,25,20,7853.981633974483,NA,hp1,0,3,0,3,21,15,25,7363.107781851078,NA,sc,fenced,hp1a
hp1,313,5,6,0,6,110,105,102,857984.6616586405,NA,hp1,0,1,2,3,102,85,74,365571.4291349763,NA,sc,fenced,hp1a
hp1,314,0,4,0,4,26,25,14,3848.451000647496,NA,hp1,0,3,0,3,37,37,28,22782.82992383318,NA,sc,fenced,hp1a
hp1,401,0,5,0,5,84,85,78,406160.80621935637,Herbivoried tops,hp1,51,4,1,5,119,58,94,402507.1339632315,NA,sc,unfenced,hp1b
hp1,402,0,4,0,4,79,35,84,193961.93043263382,Herbivory,hp1,0,2,0,2,47,47,55,111663.98388103223,NA,sc,unfenced,hp1b
